article_type.code;article.code;article.description;article.commentaire;article.collection
C;ANL090796C/ANL;DOUCETTE 796C;12041582C;1
C;ANL091307I/ANL;ARMANI CODE ICE 307I;12042132I;1
C;ANL091681F/ANL;VETINARCI 447F;12042412F;1
C;ANL091682E/ANL;IDEAL GUY 682E;12042552E;1
C;ANL091816JE/ANL;ROUGE AMERE 97JE;12046832JE;1
C;ANL092495K/ANL;OLYMPE 495K;12042543K;1
C;ANL092495L/ANL;OLYMPE 495L;12042543L;1
C;ANL107672CH/ANL;LA DOSE EN CREME 672CH;12039931CH;1
C;ANL107674F/ANL;FAST 157F;12046831F;1
C;ANL111885F/ANL;MINOS NICKEL 457F;12060955F;1
C;ANL161601/ANL;DAISY WATER;12052792;1
C;ANL161935AE/ANL;COFFE ROSE 127AE;12048394AE;1
C;ANL161962K/ANL;MOCHACINO 162K;12051258K;1
C;ANL162131BH/ANL;BLACK ROSE 003BH;12053634BH;1
C;ANL162420E/ANL;ADG DEO 420E;12054017E;1
C;ANL162740B/ANL;SUGAR BABY LOVE 29B;12047000B;1
C;ANL162741B/ANL;TUBMEC 59B;12056051B;1
C;ANL162741C/ANL;TUBMEC 59C;12056051C;1
C;ANL162755N/ANL;CIMENT 117N;12056917N;1
C;ANL162755N/ANL;CIMENT 117N;12056917N;1
C;ANL162816Q/ANL;MISS DOLLAR 121Q;12051076Q;1
C;ANL163387/ANL;QUININE GOIABA;12059442;1
C;ANL163387A/ANL;QUININE GOIABA 1A;12059442A;1
C;ANL163388A/ANL;DIVINE SAPOTI 2A;12058807A;1
C;ANL163544AB/ANL;PARTI PRIS 256AB;12053989AB;1
C;ANL163544AQ/ANL;PARTI PRIS 256AQ;12053989AQ;1
C;ANL163544BT/ANL;PARTI PRIS 256BT;12053989BT;1
C;ANL163599B/ANL;WONDERONE 60B;12050950B;1
C;ANL163727K/ANL;KRYPTONIC 25K;12054455K;1
C;ANL164149N/ANL;PHILOX GINGER 149N;12050664N;1
C;ANL164149U/ANL;PHILOXYDE 149U;12050664U;1
C;ANL164150A/ANL;LAIT ABSINTH;12050969A;1
C;ANL164150B/ANL;LAIT ABSINTH 51B;12050969B;1
C;ANL164150B/ANL;LAIT ABSINTH 51B;12050969B;1
C;ANL164328/ANL;GREEN #3;12061632;1
C;ANL164514BN/ANL;REDWAY 155BN;12049768BN;1
C;ANL164514F/ANL;REDWAY 155F;12049768F;1
C;ANL164514M/ANL;REDWAY 155M;12049768M;1
C;ANL164769D/ANL;BABY LOTION 204D;12057620D;1
C;ANL165361/ANL;MIRACLE VMC;12050401;1
C;ANL165361/ANL;MIRACLE VMC;12050401;1
C;ANL165364F/ANL;GOUDRON HUMIDE 364F;12053781F;1
C;ANL165365G/ANL;LILAS METAL 134G;12056698G;1
C;ANL165366B/ANL;ANIMAGIRL 149B;12051466B;1
C;ANL165366D/ANL;ANIMAGIRL 149D;12051466D;1
C;ANL165367B/ANL;TABAC FROID;12053782B;1
C;ANL165367I/ANL;TABAC FROID 252I;12053782I;1
C;ANL165368B/ANL;CUIR CHEVELU 290B;12059195B;1
C;ANL165368H/ANL;CUIR CHEVELU 290H;12059195H;1
C;ANL175201D/ANL;DARKANAS 201D;12049487D;1
C;ANL175225G/ANL;FLEUR DE REGLISSE 23G;12057132G;1
C;ANL175225G/ANL;FLEUR DE REGLISSE 23G;12057132G;1
C;ANL177532B/ANL;CHOCEXPLOSION 130B;12046595B;1
