article_type.code;article.code;article.description;article.commentaire;article.collection
C;JJJ206857AW/JJJ;759AC FIERCE;12055937AW;1
C;JJJ206857AY/JJJ;JAN4027/759L APS MODRNISÉ;12055937AY;1
C;JJJ206869AD/JJJ;PEAU QUI CHAUFFE;12055589AD;1
C;JJJ206902AN/JJJ;ROUGE A LEVRE 125O 2012;12059653AN;1
C;JJJ206926D/JJJ;T SENSI POUR LEGENDA;12061530D;1
C;JJJ207243CB/JJJ;JAN3454/VARIATION 010 POUR CADUM EDT BEBE 26 FREE;12055853CB;1
C;JJJ207476AR/JJJ;MAT ZEN VEGETABLE CAVIAR;12057967AR;1
C;JJJ207492AE/JJJ;FEU PREHISTOIRE;12059969AE;1
C;JJJ209649AF/JJJ;DOVE CREME AMOR AMOR HYDROSOL NON COLOR;12056320AF;1
C;JJJ209649M/JJJ;DOVE CREME AMOR AMOR;12056320M;1
C;JJJ216520BQ/JJJ;**AGARWOOD PUIG 2011;12056856BQ;1
C;JJJ216520BQ/JJJ;**AGARWOOD PUIG 2011;12056856BQ;1
C;JJJ216520BZ/JJJ;OUD BODY SHOP 12E;12056856BZ;1
C;JJJ217943J/JJJ;JAN4123/T AROM CAFFE ZULPICH;12059006J;1
C;JJJ218675BC/JJJ;CRISTE CARAMBOLE MENTHE HYPO;12055817BC;1
C;JJJ221214BQ/JJJ;WHITE MUSK ALDEHYDÉ TYPE PARFUM DE COEUR;12057289BQ;1
C;JJJ221839A/JJJ;LOTUS MIMOSA PTIT MARS;12056981A;1
C;JJJ221839A/JJJ;LOTUS MIMOSA PTIT MARS;12056981A;1
C;JJJ222145H/JJJ;HEADSMACE KUMQUAT TEC;12056036H;1
C;JJJ222145J/JJJ;HEADSMACE KUMQUAT TEC;12056036J;1
C;JJJ223879AA/JJJ;FARINE VETIVER 9EUROS;12058099AA;1
C;JJJ223879AA/JJJ;FARINE VETIVER 9EUROS;12058099AA;1
C;JJJ224748AD/JJJ;FLORA GUCCI LIGHT IODÉ;12056092AD;1
C;JJJ225598AI/JJJ;MAGNOLIA SUR JJSF DUPONT;12055819AI;1
C;JJJ226303/DLK;CHAMALOW FLOWER TOBIRA PITOSPORUM;12056874;1
C;JJJ226475Z/JJJ;PECHE GINGEMBRE;12055719Z;1
C;JJJ226663A/JJJ;ACCORD CAPOTE;12059383A;1
C;JJJ226663A/JJJ;ACCORD CAPOTE;12059383A;1
C;JJJ226681D/JJJ;ACCORD SANG;12059308D;1
C;JJJ226681D/JJJ;ACCORD SANG;12059308D;1
C;JJJ226681E/JJJ;ACCORD MORT;12059308E;1
C;JJJ226681G/JJJ;ACCORD SANG/FRAMBOISE;12059308G;1
C;JJJ226956B/JJJ;T PARLEZ MOI D'AMOUR HYDROSOLUBLE;12058250B;1
C;JJJ227622B/JJJ;JEAN JACQUES ORIFLAME DK ++;12056250B;1
C;JJJ228372P/JJJ;HUILE PRODIGIEUSE DE SANTAL;12056833P;1
C;JJJ228375G/JJJ;HEAD ANDS SHOULDER  PEAU;12059598G;1
C;JJJ228706D/JJJ;ANGE OU DEMON;12055604D;1
C;JJJ228939/JJJ;NBCHYP005 MOD QUALITATIVE;12057183;1
C;JJJ229005E/JJJ;SUR AXE BOOST POUR CONCEPT FEU;12058999E;1
C;JJJ229005E/JJJ;SUR AXE BOOST POUR CONCEPT FEU;12058999E;1
C;JJJ229005E/JJJ;SUR AXE BOOST POUR CONCEPT FEU;12058999E;1
C;JJJ229087CY/JJJ;PATCHOULI BLANC COUREGE;12059116CY;1
C;JJJ229305S/JJJ;CUIR DE OUD 2 MOD PUISSANCE;12055741S;1
C;JJJ229547C/JJJ;AJMAL TYPE OUD MITSOUKO;12055690C;1
C;JJJ229693C/JJJ;NJWOOD062B  MOD COTTON MATSURI MASCULIN ISSEY SPOR;12057378C;1
C;JJJ229693D/JJJ;TABAC COLOGNE LEATHER;12057378D;1
C;JJJ229702A/JJJ;BENIHI PARTY CANDLE;12059437A;1
C;JJJ230049CB/JJJ;VIOLETTE ROSE;12057494CB;1
C;JJJ230462H/JJJ;HAREM   NR;12058025H;1
C;JJJ230992C/JJJ;SILVER SCENT ONE MILLION RIFLAME;12058011C;1
C;JJJ230992D/JJJ;SILVER SCENT ONE MILLION RIFLAME;12058011D;1
C;JJJ231030/JJJ;ACCRORD PREHISTOIRE SILEX;12058174;1
C;JJJ231109A/JJJ;HERBE INFUSION PREHISTOIRE;12058173A;1
C;JJJ231721B/JJJ;MIEL DE VIEUX;12058199B;1
C;JJJ231986A/JJJ;ALDRON CHAUFEE;12059239A;1
C;JJJ233199EY/JJJ;DRIVE ME NUTS HELENE;12060633EY;1
C;JJJ233209/TAK;TAYN-005L MOD;12060960;1
C;JJJ233210B/JJJ;TKYN002T MOD;12061714B;1
C;JJJ233211A/JJJ;TAYN-003V MOD;12061629A;1
C;JJJ233212/TAK;TAKO-002L MOD;12061126;1
C;JJJ233332AX/JJJ;LOVE ME TINDER - 40AC SUR BASE AD;12061583AX;1
C;JJJ233552AW/JJJ;TUXEDO 45   ANS CACAO;12061187AW;1
C;JJJ233553AQ/JJJ;TOBACO VANILLE MATERNITÉ TIARÉ;12061494AQ;1
C;JJJ233696C/JJJ;MUSC LACTEE PEAU DE BÉBÉ;12061834C;1
C;JJJ233696K/JJJ;MUSC LACTEE PEAU DE BÉBÉ;12061834K;1
C;JJJ233923D/JJJ;PINANA FLORAL JASMIN;12061564D;1
C;JJJ233995A/JJJ;GLC AUTO EAU D'HDRIEN COLOGNE UDV;12061203A;1
C;JJJ234412/FJJ;FJFOUG003C QUI SENT BON;12060695;1
C;JJJ292849KI/JJJ;FOUROSESIU SUR BASE IW;12063816KI;1
C;JSA028227C/JSA;VANILLE AIRFRESHENER;12056965C;1
C;JSA029307AF/JSA;TOMATE;12039813AF;1
C;JSA032142K/JSA;FRESCOR LAUNDRY ENCAPS SANS FORMAL;12041658K;1
C;JSA032351AD/JSA;CHOCOLAT NOIR;12047381AD;1
C;JSA032351AF/JSA;CHOCOLAT EPICES;12047381AF;1
C;JSA032351AI/JSA;VETICHOC;12047381AI;1
C;JSA032351CN/JSA;CHOCOLAT NOIR SHOWER GEL;12047381CN;1
C;JSA032351H/JSA;CHOCOLAT MOUSSE;12047381H;1
C;JSA033069B/JSA;PIN CAPSULES SOFTENER SANS FORMALDEHYDE;12041012B;1
C;JSA033069C/JSA;PIN CAPSULES SOFTENER SANS FORMALDEHYDE;12041012C;1
C;JSA033070D/JSA;CLEAN LAUNDRY CASPULES SANS FORMALD;12041584D;1
C;JSA033072BJ/JSA;CHLOE SOFTENER WO LILIAL;12037935BJ;1
C;JSA033072CQ/JSA;CHLOE ENCAPS SANS FORMAL POUR ASSOUPLISSANT;12037935CQ;1
C;JSA034536C/JSA;CHAMALLOW;12043265C;1
C;JSA036365A/JSA;POMME CAPSULES SANS FORMALD ASSOUPLISSANT;12058833A;1
C;JSA036466B/JSA;CAFE CANDLE;12055757B;1
C;JSA090819X/JSA;CASHMERE VANILLE ECOLABEL;12055234X;1
C;JSA106938P/JSA;TOMMY YUZU CRANBERRY DEO;12056799P;1
C;JSA108768D/JSA;FLEUR DE FENOUIL;12057327D;1
C;JSA108770A/JSA;YUZU WILD BERRY;12057879A;1
C;JSA108967A/JSA;ROSE BEAUTY BARSOAP;12040152A;1
C;JSA110429/JSA;SO KLIN PINK COTTON SOFTENER;12056873;1
C;JSA110965A/JSA;LEMON FLOOR CLEANER;12055895A;1
C;JSA111782A/JSA;MOJITO BANANE;12059533A;1
C;JSA111804T/JSA;ROMANCE SOAP;12056759T;1
C;JSA111809M/JSA;SPECULOS POTIRON;12047379M;1
C;JSA140698S/JSA;ENO;12056309S;1
C;JSA161001AN/JSA;TOMMY GIRL PISO;12055702AN;1
C;JSA161001AP/JSA;TOMMY GIRL AEROSOL;12055702AP;1
C;JSA162121C/JSA;GRENADINE LIPSTICK;12045570C;1
C;JSA162673E/JSA;ED HARDY GAGA FOR WOMAN;12052975E;1
C;JSA162673U/JSA;ED HARDY GAGA FOR WOMAN;12052975U;1
C;JSA164224F/JSA;PROPRE;12057162F;1
C;JSA164224O/JSA;PROPRE;12057162O;1
C;JSA164224P/JSA;PROPRE SALE;12057162P;1
C;JSA165269P/JSA;TARTOPOM;12056243P;1
C;JSA176185BW/JSA;JUICY PECHE SHOWER BUTTER;12046419BW;1
C;JSA176824D/JSA;LOTUS  ECOCERT;12055199D;1
C;JSA181262/JSA;PANTENE H&S COEUR;12057254;1
C;JSA226123D/JSA;GIACO;12056186D;1
C;JSA226138/JSA;MARINE;12056370;1
C;JSA226149C/JSA;CASSIS FANTAISIE;12060281C;1
C;JSA226402D/JSA;MIEL;12056517D;1
C;JSA226402F/JSA;MIEL;12056517F;1
C;JSA226495L/JSA;ALIEN;12056736L;1
C;JSA226673/JSA;IRIS NEROLI;12058075;1
C;JSA226701B/JSA;FLEUR D'ORANGER ECOCERT HYPO;12057386B;1
C;JSA226929/JSA;GINGER LEMON;12056719;1
C;JSA227049C/JSA;LAVANDE ECOCERT DET LIQ;12056193C;1
C;JSA227235A/JSA;SWEET ORANGE HDWL;12058960A;1
C;JSA227540A/JSA;GRAPE;12058373A;1
C;JSA227631/JSA;ABRICOT ECOCERT;12055662;1
C;JSA227688A/JSA;CERISE ECOCERT;12059050A;1
C;JSA227697A/JSA;CRISTE MARINE ECOCERT;12055780A;1
C;JSA228184/JSA;ERBA FRESCA HDWL;12055786;1
C;JSA228194H/JSA;OLIVE AMANDE ET FIGUE;12056512H;1
C;JSA228649J/JSA;GOLD CHOC BOUGIE;12056308J;1
C;JSA228649P/JSA;ACQUA GOLD CHOC SHOWER GEL;12056308P;1
C;JSA228970C/JSA;AMANDE HYPONATAK;12058650C;1
C;JSA228970C/JSA;AMANDE HYPONATAK;12058650C;1
C;JSA228970C/JSA;AMANDE HYPONATAK;12058650C;1
C;JSA229071/JSA;LENOR MISTERY MAYA;12056750;1
C;JSA229163B/JSA;FLOWER APC;12057226B;1
C;JSA229255/JSA;ABRICOT HYPONATAK;12058649;1
C;JSA229255/JSA;ABRICOT HYPONATAK;12058649;1
C;JSA229261B/JSA;J'ADORE AVEC LILIAL SUB;12057720B;1
C;JSA229282G/JSA;GRENADE ROMANCE CARE SHAMPOO;12055615G;1
C;JSA229322/JSA;BABY FLORAL BARSOAP;12056855;1
C;JSA229791C/JSA;ONWIST MOD PERSONAL CARE;12059232C;1
C;JSA229826R/JSA;KOSME SOFT CHYPREMARIN;12055659R;1
C;JSA229848B/JSA;POMME D'AMOUR;12058638B;1
C;JSA229872A/JSA;YUZU;12056834A;1
C;JSA230123C/JSA;MAGNOLIA OLIVIA SOFTENER;12057158C;1
C;JSA230263A/JSA;LENOR BLEU APRILFRISCH;12057300A;1
C;JSA230284F/JSA;ONE MILLION SOFT;12057199F;1
C;JSA230602F/JSA;SOUPLINE GRAND AIR CARAMEL;12057573F;1
C;JSA230931D/JSA;ANGIE POMME HAIRCARE;12057407D;1
C;JUN016370AL/JUN;CCA;12011070AL;1
C;JUN016893B/JUN;DARIYA BE COOL  DIOR HOMME;12011204B;1
C;JUN032859U/JUN;BEAUX ARTS ;12024808U;1
C;KKE162475S/KKE;ROSES APPLE;12049910S;1
C;KKE164832I/KKE;RAINFOREST FOR BEAT THE BEST RB FRESHMATIC;12050403I;1
C;KKE180115F/KKE;L'OREAL ULTRA DOUX;12048767F;1
C;KKE180677H/KKE;MJVANI084A PISO RB BEAT BEST EU PISO;12050199H;1
C;KKE180677R/KKE;MJVANI084A PISO RB BEAT BEST EU FRESHMATIC;12050199R;1
C;KOH014405BE/KOH;TEPL IMPR KO-GTEA-040BD;12009035BE;1
C;LFA224330O/DLK;CH1-MYRTILLE VANILLE HYPO FOR PTIT DOP;12060202O;1
C;MAR017549J/MAR;WATERMELON;12056059J;1
C;MAR105082A/MAR;VERNEL HIBISCUS;12038123A;1
C;MAR163464A/MAR;MIMOSA (DOP);12056745A;1
C;MAR165370Z/MAR;APPLE GUSTARD CRUMBLE DESIRE PG 10% PYRAZINES;12058516Z;1
C;MGU161723/MGU;BOIS DE CHATAIGNER RWK AJORIE020AG;12058377;1
C;MGU201896M/MGU;NINA GIVRE LILIAL FREE;12057864M;1
C;MGU223085J/MGU;T* KENZO POWER GD;12056829J;1
C;MLE165597F/MLE;MISSONI EDP - 19%PP - 2V 1;12062223F;1
C;MLE165597F/MLE;MISSONI EDP - 19%PP - 2V 1;12062223F;1
C;MLE235090AY/FIK;GIRL ON FIRE 163 - 15%PP;12062169AY;1
C;MLE294636A/MLE;PRADA L'HOMME 6 25€ - 13%PP;12064674A;1
C;MLE294636A/MLE;PRADA L'HOMME 6 25€ - 13%PP;12064674A;1
C;MLE294636C/MLE;PRADA L'HOMME 8€ 1 - 13%PP;12064674C;1
C;MLE294636C/MLE;PRADA L'HOMME 8€ 1 - 13%PP;12064674C;1
C;MLE294636E/MLE;PRADA L'HOMME 15€ /1 - 13%PP;12064674E;1
C;MLE294636E/MLE;PRADA L'HOMME 15€ /1 - 13%PP;12064674E;1
C;NBO027483/NBO;CITRON ZEST KIDS RWK  6E;12055681;1
C;NBO087875I/NBO;ROSE PS WATER BASE 2;12056159I;1
C;NBO105920C/NBO;CHAMPACA DEMO 4;12037530C;1
C;NBO165372/NBO;LEATHER 9E SG 1;12053778;1
C;NBO221654M/NBO;AMBRE 83 /OUDH 1;12055692M;1
C;NBO224050J/NBO;MALABAR HS 4;12058745J;1
C;NBO224124G/NBO;HS TAGADA TSOUIN TSOUIN 003 MOD;12058735G;1
C;NBO224126/NBO;NOUNOURS HARIBO HS;12058709;1
C;NBO224520H/NBO;HS DRAGIBUS 002 /100;12056673H;1
C;NBO224520H/NBO;HS DRAGIBUS 002 /100;12056673H;1
C;NBO224521C/NBO;HS CARENSAC HARIBO SHOWER GEL;12058744C;1
C;NBO225912F/NBO;AMBRE NUIT 2;12055771F;1
C;NBO226032I/NBO;SELYS 3;12056045I;1
C;NBO226032J/NBO;TAGADA LYS 2 SG;12056045J;1
C;NBO226032K/NBO;LYS 9E SG;12056045K;1
C;NBO226130B/NBO;OSMANTHUS DEMON 3;12058314B;1
C;NBO226171F/NBO;EMPREINTES DIGITALES 3;12059775F;1
C;NBO226223T/NBO;PETALE DE MUSC 5;12058848T;1
C;NBO226252F/NBO;HEMOGLOBINE 7;12059776F;1
C;NBO226798B/NBO;GUATIZA GARDEN 1;12058873B;1
C;NBO227067A/NBO;CHERRY CANDLE 1;12058746A;1
C;NBO227366/VDA;NUTELLA AROMA /RWK VDORIE045K;12057141;1
C;NBO227508D/NBO;LOW BLOW 4;12056044D;1
C;NBO227662C/NBO;SPICY BEAR 4;12056048C;1
C;NBO227898/NBO;ECLAT D ARPEGE WB 1;12057773;1
C;NBO227974/MGU;LITCHI PETALE  GRAS 1;12057548;1
C;NBO228130A/NBO;OMBRE ROSE WB 2;12057938A;1
C;NBO228424C/NBO;PINANANAS SG 4;12056046C;1
C;NBO228537C/NBO;BLACK DRAGIBUS 4 SG;12056043C;1
C;NBO228538C/NBO;SALT LAKE 4;12056473C;1
C;NLE018145DF/NLE;LILAS;12015721DF;1
C;NLE105084CY/NLE;FLOWER LPV;12055852CY;1
C;NLE105084DY/NLE;FLOWER EX 30156427;12055852DY;1
C;NLE109082EK/NLE;AIR FRESHNER;12056532EK;1
C;NLE156813K/NLE;BAUME LEVRE JPG;12058651K;1
C;NLE157038BS/NLE;CHRISTMAS TREE;12056611BS;1
C;NLE158591F/NLE;GREEN TEA BASILIC;12055214F;1
C;NLE161259AV/NLE;PALMOLIVE GRENADE ET JOJOBA;12057315AV;1
C;NLE161259Z/NLE;PALMOLIVE GRENADE ET JOJOBA;12057315Z;1
C;NLE161260BF/NLE;SEA QUEST 35130227;12055675BF;1
C;NLE221059A/NLE;RETRAVAIL SKRASP002 T;12062727A;1
C;NLE222051F/NLE;BEYOND;12056555F;1
C;NLE222400AX/NLE;USHUAIA PULPE DE GRENADE;12056966AX;1
C;NLE222827D/NLE;NARCISSO;12055849D;1
C;PCH088952BL/PCH;TAJ MAHAL CATWALK TEPL;12043388BL;1
C;PCH089405AA/PCH;AVEC PERTE ET FRACAS MOD $18;11040068AA;1
C;PCH089405H/PCH;AVEC PERTE ET FRACAS + O'KOME VAMPIRE;12040068H;1
C;PCH089976C/PCH;VERY SEXY ITALIAN MANDARIN WIFI;11040175C;1
C;PCH090004C/PCH;CHOO FLASH TEPL @15EUROS;12040643C;1
C;PCH091686E/PCH;REVEAL KORRES TEPL;12042446E;1
C;PCH105923AM/PCH;CRUSHED SHISO MUSCADINE TEPL;12038427AM;1
C;PCH108003Y/PCH;FAME TEPL @8EUROS;12040277Y;1
C;PCH108003Y/PCH;FAME TEPL @8EUROS;12040277Y;1
C;PCH108003Z/PCH;FAME TEPL @15 EUROS;12040277Z;1
C;PCH108003Z/PCH;FAME TEPL @15 EUROS;12040277Z;1
C;PCH108128W/PCH;PINK SUGAR TEPL CRAZY PARTY TEU-H-7393 962938;12043389W;1
C;PCH112264C/PCH;ZARA MEN PUMA TEPL;12043414C;1
C;PCH156280AH/PCH;SEL CHOCOLAT AMER TEPL;12044234AH;1
C;PCH156280AJ/PCH;CHOCOLAT ALOE VERA;12044234AJ;1
C;PCH156280AJ/PCH;CHOCOLAT ALOE VERA;12044234AJ;1
C;PCH156280Y/PCH;FLEUR DE SEL CHOCOLAT + ABSINTHE;12044234Y;1
C;PCH156627W/PCH;FRAMBOISE BALSAMIC SESAME @1% SHOWER GEL;12047047W;1
C;PCH157428AH/PCH;ROMEO & JULIETTE  MEN PARIS;12044841AH;1
C;PCH157740O/PCH;MARRONS GLACE SEL;12046923O;1
C;PCH157824BF/PCH;MECANIC  CAMOUFLAGE PUMA TEPL;12048919BF;1
C;PCH160039J/PCH;CAROTTE PETIT POIS TEPL;12045777J;1
C;PCH160039N/PCH;CAROTTE CARDAMOME TEPL;12045777N;1
C;PCH160358BP/PCH;MIAMI ROSE IKEBANA  KORRES TEPL;12046216BP;1
C;PCH162195AA/PCH;SANTAL SALE PUMA TEPL;12050314AA;1
C;PCH162908AI/PCH;METAFIRE DSQUARED;12049934AI;1
C;PCH175331/PCH;BLACKBUSH ACCORD FLORAS.;12056358;1
C;PCH175331H/PCH;BLACKBUSH THE ONE MEN;12056358H;1
C;PCH175378C/PCH;BOMBAY SAPPHIRE;12056121C;1
C;PCH176372G/PCH;AFTER EIGHT;12056657G;1
C;PCH176372G/PCH;AFTER EIGHT;12056657G;1
C;PCH176959A/PCH;NAGAYA SALON SHARED FORMULA KO-GTEA 040BD;12058778A;1
C;PCH179209/PCH;CHOCOLATE BASE SUB;12057679;1
C;PRO091196B/PRO;BEIJO;12054032B;1
C;RAO088095K/RAO;FRUITY FLORAL;12029668K;1
C;RAO091800E/RAO;FLORAL FRUITY;12030529E;1
C;RFF034378/RFF;JSFRES074K SLURRY FORMALDEHYDE FREE;12059290;1
C;RFF112342/RFF;DGFLO822L IN IPM;12042593;1
C;RFF112697/RFF;TNJS005 SLURRY FORMALD FREE LIQ PAROI FINE -30%;12062174;1
C;RFF178214/RFF;DGEMPR027M SLURRY FORMALD FREE LIQUID;12055202;1
C;RFF183118/RFF;BXDG044B  SLURRY FORMALD FREE LIQ PAROI FINE -30%;12062122;1
C;RFF230031/RFF;JSFLO042CQ SLURRY FORMALDEHYDE FREE LIQUID;12058821;1
C;RFF230032/RFF;JSAROM060 ENCAPSULATION LIQUIDE FORMALDEHYDE FREE;12057207;1
C;RFF230128/RFF;DGEMPR004Y SLURRY FORMALDEHYDE FREE;12059509;1
C;RFF230300/RFF;JSFLO042DF SLURRY FORMALD FREE LIQUID;12059398;1
C;RFF230397/RFF;JSAROM060B SLURRY FORMALD FREE LIQUID;12058133;1
C;RFF230839/RFF;JSFRUI108A SLURRY FORMALD FREE LIQUID;12058818;1
C;RFF231929/RFF;JSFRES118A SLURRY FORMALD FREE;12057190;1
C;RFF231938/RFF;JSMARI006A IN TEC NAT;12060251;1
C;RFF231938/RFF;JSMARI006A IN TEC NAT;12060251;1
C;RFF232094/RFF;JSFLO067A IN TEC;12058251;1
C;RFF232094/RFF;JSFLO067A IN TEC;12058251;1
C;RFF232094A/RFF;JSFLO067A IN TECNAT;12058251A;1
C;RFF233105/RFF;JSFRES090D  SLURRY FORMALD FREE LIQUID;12058043;1
C;RFF234101/RFF;JSFRES090D SLURRY FORMALD FREE LIQ PAROI FINE -30%;12062126;1
C;RFF234105/RFF;JSFRES074A SLURRY FORMALD FREE LIQ PAROI FINE -30%;12062113;1
C;RFF234586/RFF;JSFLO021 IN TECNAT;12061815;1
C;RFF234727/RFF;JSFLO153D IN TECNAT;12061748;1
C;RFF235917/RFF;MIXAGE PASTILLES PR VIKING POUR PELLETS;12061983;1
C;RVZ105816J/RVZ;DGRZ-2;12037588J;1
C;RVZ165373/RVZ;REXILE;12053779;1
C;RVZ165373/RVZ;REXILE;12053779;1
C;RVZ225272F/RVZ;RZ-FLO-6;12059001F;1
C;RVZ226480D/RVZ;VIKING;12055869D;1
C;RVZ226549A/RVZ;SKILLS;12057858A;1
C;RVZ228154A/RVZ;CLEANSAFE;12057859A;1
C;SCL090579A/SCL;VICTORIA'S SECRET NIGHT WOMEN'S TYPE;12041299A;1
C;SCL091312B/SCL;MARC JACOBS DAISY DREAM WOMEN;11041466B;1
C;SEL164475F/SEL;IRRESISTIBLE AMANDA * BP;12061864F;1
C;SEL164475F/SEL;IRRESISTIBLE AMANDA * BP;12061864F;1
C;SEL182661A/SEL;AZAMI VS;12051385A;1
C;SEL182790/SEL;CHARCOAL SEA SALT;12062795;1
C;SEL182790/SEL;CHARCOAL SEA SALT;12062795;1
C;SEL182790B/SEL;BOIS D'IRIS;12062795B;1
C;SEL182790B/SEL;BOIS D'IRIS;12062795B;1
C;SEL234931/SEL;MUSC CRYSTAL;12062772;1
C;SEL234931/SEL;MUSC CRYSTAL;12062772;1
C;SEL234970X/SEL;TUB FOR MEN;12062793X;1
C;SEL234970X/SEL;TUB FOR MEN;12062793X;1
C;SEL234980A/SEL;PATCHOULY BLANC;12062779A;1
C;SEL234983/SEL;PATCHOULY LATTE;12062778;1
C;SEL235067A/SEL;ENCRE;12062348A;1
C;SEL235172/SEL;PEACE PIPE;12062783;1
C;SEL235356A/SEL;SCANDAL;12062372A;1
C;SEL235357A/SEL;AMBERISSIME;12062371A;1
C;SEL235358A/SEL;INTENSE JOY;12062365A;1
C;SEL235379/SEL;NAUGHTY BUT NICE VS;12062771;1
C;SEL235380A/SEL;RAW LEATHER ACCORD VS;12062794A;1
C;SEL235380A/SEL;RAW LEATHER ACCORD VS;12062794A;1
C;SEL235486/SEL;FIRESIDE CEDAR;12062777;1
C;SEL235514/SEL;CASHMERE;12062792;1
C;SEL235514/SEL;CASHMERE;12062792;1
C;SKO201664G/SKO;VIOLETTA (622473);12057085G;1
C;SLT090624C/SLT;FLATERIE;12060539C;1
C;SLT091496E/SLT;PEPITE;12060699E;1
C;SLT092245I/SLT;ELEGANCE;12030640I;1
C;SLT092246B/SLT;BLUE SEA;12051022B;1
C;SLT092251E/SLT;COSTA FRUIT;12061368E;1
C;SLT162361B/SLT;BB;12054722B;1
C;SLT162361B/SLT;BB;12054722B;1
C;SLT162412B/SLT;CROMBIEMAN;12054023B;1
C;SLT162412C/SLT;CROMBIEMAN;12054023C;1
C;SLT162414D/SLT;SPARCTACUS;12054049D;1
C;SLT162414Y/SLT;SPARCTACUS;12054049Y;1
C;SLT162419D/SLT;NOTHING TO DECLARE;12051577D;1
C;SLT162419F/SLT;NOTHING TO DECLARE;12051577F;1
C;SLT164497E/SLT;JOLIE BOMBE;12060494E;1
C;SLT170654A/SLT;MAGNITUDE;12050662A;1
C;SLT179937A/SLT;LUXY RED;12049846A;1
C;SLT179937A/SLT;LUXY RED;12049846A;1
C;SLT179937C/SLT;LUXY RED;12049846C;1
C;SLT179937F/SLT;LUXY RED;12049846F;1
C;SLT180077D/SLT;AYALA;12050872D;1
C;SLT180670I/SLT;AVENGERS;12049843I;1
C;SLT180670O/SLT;AVENGERS;12049843O;1
C;SLT180670R/SLT;AVENGERS;12049843R;1
C;SLT182211T/SLT;FIG;12060190T;1
C;SLT182883C/SLT;MILLE ENVIES;12051658C;1
C;SLT183180E/SLT;TRENDY / BRILLIANT;12051576E;1
C;SLT183258W/SLT;CHAMONIX;12061388W;1
C;SLT230882E/SLT;SWEET BEAUTY / POIRE;12060131E;1
C;SLT231305B/SLT;IDYLLE;12060809B;1
C;SLT231307C/SLT;WHITE LOVE;12060498C;1
C;SLT231440C/SLT;INCARNATION;12060738C;1
C;SLT231440E/SLT;INCARNATION;12060738E;1
C;SLT231577A/SLT;PINA COLADA;12060276A;1
C;SLT231718/SLT;PANTENE SMOOTH & SLEEK;12062705;1
C;SLT231804/SLT;PANTENE MOIST SMOOTH CARE;12060567;1
C;SLT232255/SLT;PANTENE PRO V SMOOTH 1 SILKY;12060419;1
C;SLT233184A/SLT;EAU DE CARTIER/MENTHE HYPO NEUTRALISEUR;12061331A;1
C;SLT233562D/SLT;WATER FRESH;12062767D;1
C;SLT233621/SLT;EGOISTE;12061753;1
C;SLT233679B/SLT;DARK BLUE;12062760B;1
C;SLT233725E/SLT;NARGUILE;12061487E;1
C;SLT233839E/SLT;PS;12061214E;1
C;SLT233842E/SLT;REDEYE;12062756E;1
C;SLT233906A/SLT;DARKSIDE;12062742A;1
C;SLT233950E/SLT;RAIDE DINGUE;12061539E;1
C;SLT235242B/SLT;BLUE CRUSH;12062782B;1
C;SYL017609D/SYL;SFF 1752/3;12020913D;1
C;SYL027490N/SYL;SFF 1900/49;12040170N;1
C;SYL027490R/SYL;SFF 1900/51;12040170R;1
C;SYL027490T/SYL;SFF 1900/55;12040170T;1
C;SYL031537J/SYL;SFF 2055/7LESS EXP;12055632J;1
C;SYL031549F/SYL;SFF 2184/33A;12051301F;1
C;SYL031549J/SYL;SFF 2184/4 NV LW;12051301J;1
C;SYL035485E/SYL;SFF 2134/5;12057774E;1
C;SYL086952I/SYL;SFF 1413/6;12056349I;1
C;SYL089427/SYL;SF FRUI 108 TW SF WOOD 261 C;12058760;1
C;SYL090580N/SYL;SFF 2286/3 ECL AR;12041300N;1
C;SYL091159P/SYL;SFF 2008/4 NACRE 2;12059829P;1
C;SYL091376L/SYL;SFF 1863/27 AS NV;12055204L;1
C;SYL091518N/SYL;SFF 2174/33 NV OSC F/ MM;12031316N;1
C;SYL091943R/SYL;SFF 2297 LW ...;12043207R;1
C;SYL092509E/SYL;SF KOUR. ARGENT MEN / LW+(MOD B);12042717E;1
C;SYL092509F/SYL;SF KOUR. ARGENT MEN / LW- (MOD C);12042717F;1
C;SYL092510E/SYL;SFF 2424/2;12042791E;1
C;SYL092510I/SYL;SFF 2424/3;12042791I;1
C;SYL092511C/SYL;SFF 2428/2;12042750C;1
C;SYL092511C/SYL;SFF 2428/2;12042750C;1
C;SYL092511D/SYL;SFF 2428/4;12042750D;1
C;SYL092511D/SYL;SFF 2428/4;12042750D;1
C;SYL092512D/SYL;SFF 2433/2;12042686D;1
C;SYL092512F/SYL;SFF 2433/3;12042686F;1
C;SYL107351G/SYL;SFF 1616/13;12047105G;1
C;SYL107351G/SYL;SFF 1616/13;12047105G;1
C;SYL107351G/SYL;SFF 1616/13;12047105G;1
C;SYL108129J/SYL;SFF 2174/7 LESS 1;12056479J;1
C;SYL108218A/SYL;SF / 2 KENZ H2O W 2;12058162A;1
C;SYL108218C/SYL;SFF 2207**;12058162C;1
C;SYL108219N/SYL;SFF 1993/22 LESS EXP A;12046157N;1
C;SYL108593R/SYL;SFF 1795/4 CHOC B;12058392R;1
C;SYL108896A/SYL;SF / L'EAU IS SP 2;12058512A;1
