article_type.code;article.code;article.description
S;D-00065583;PHEN ETH ALCOHOL [FFP] @ 10 % in TEC
S;D-00066355;CASTOREUM GIVCO 116/4 [FFP] @ 1 % in DPG
S;D-00066634;MUSCENONE 962191 [FFP] @ 10 % in DPG
S;D-00067078;CINNAMON BARK OIL CEYLON EO IFF [FFP] @ 10 % in TRIETH CITRATE (LOCAL)
S;D-00067080;DAMASCENONE [FFP] @ 10 % in TRIETH CITRATE (LOCAL)
S;D-00067081;DYNASCONE NEAT 939.745 ( FFP) @ 10 % in TRIETH CITRATE (LOCAL)
S;D-00067153;TUBEROSE ABS INDIAN 100% PURE & NAT EXT A.VIEILLE [FFP] @ 10 % in TEC
S;D-00067211;CINNAMON BARK OIL CEYLON EO IFF [FFP] @ 10 % in IPM
S;D-00067963;UNDECAVERTOL [FFP] @ 10 % in IPM
S;D-00068560;DYNASCONE NEAT 939.745 ( FFP) @ 1 % in TEC
S;D-00068875;PHEN ETH ALCOHOL [FFP] @ 1 % in TEC
S;D-00069878;PEPPER BLACK OIL NAT EO BONTOUX [FFP] @ 10 % in IPM
S;D-00072229;COUMARIN [FFP] @ 10 % in IPM
S;D-00073140;OAKMOSS #1 [FFP] @ 10 % in IPM
S;D-00073315;MUSCENONE 962191 [FFP] @ 10 % in TEC
S;D-00073473;AMBROXAN [FFP] @ 10 % in TEC
S;D-00074066;ROSE OXIDE [FFP] @ 10 % in TEC
S;D-00074181;OZONAL SUB KF OZON 001 IN DPG [FFP] @ 10 % in TEC
S;D-00074739;EXALTOLIDE (FIRM) [FFP] @ 10 % in DPG
S;D-00074978;ALLYL CYCLOHEXYL PROP [FFP] @ 10 % in TEC
S;D-00075129;UNDECALACTONE GAMMA [FFP] @ 1 % in TEC
S;D-00075269;GRISAMBROL B 947169 [FFP] @ 10 % in TEC
S;D-00075270;AURANTIOL [FFP] @ 1 % in TEC
S;D-00075620;DAMASCENONE [FFP] @ 0.1 % in DPG
S;D-00076002;BENZ SAL [FFP] @ 1 % in DPG
S;D-00076055;DAMASCONE BETA [FFP] @ 10 % in BB
S;D-00076064;ROSEMARY OIL MAROCCO NAT EO BERNARDI [FFP] @ 10 % in TEC
S;D-00076435;GERANYL ACET EXTRA [FFP] @ 1 % in DPG
S;D-00076536;CYCLOTENE [FFP] @ 10 % in TEC
S;D-00076619;CANTHOXAL [FFP] @ 1 % in DPG
S;D-00076655;CYCLOTENE [FFP] @ 1 % in TEC
S;D-00076855;IONONE BETA [FFP] @ 1 % in DPG
S;D-00076910;OAKMOSS #1 [FFP] @ 10 % in BB
S;D-00076996;PHEN ACETALD DMA [FFP] @ 10 % in IPM
S;D-00077036;MUSCAROME J-5 AMCR TEC (ETHANOL 87.1%/ TEC 1.5%) [FFP] @ 10 % in DPG
S;D-00078858;PHEN ETH PHEN ACETATE [FFP] @ 10 % in TEC
S;D-00079577;CUMIN OIL NAT EO MPE [FFP] @ 10 % in IPM
S;D-00079582;DAMASCONE DELTA [FFP] @ 10 % in IPM
S;D-00080072;SULFUROL [FFP] @ 0.1 % in DPG
S;D-00080924;HEXEN-1-OL, CIS-3, [FFP] @ 10 % in TEC NAT 
S;D-00081294;YLANG OIL EXTRA EO BERNERDI [FFP] @ 10 % in TEC
S;D-00081800;BENZALD [FFP] @ 10 % in TEC 100% RENEW
S;D-00081801;INDOLE CX [FFP] @ 10 % in TEC 100% RENEW
S;D-00081908;ALLYL CYCLOHEXYL PROP [FFP] @ 1 % in TEC
S;D-00082115;DAMASCENONE [FFP] @ 10 % in TEC 100% RENEW
S;D-00082381;DAMASCENONE [FFP] @ 10 % in BB
S;D-00082974;JASMIN ABS EXT INDIAN [FFP] @ 10 % in TEC
S;D-00083033;LINALYL ANTH [FFP] @ 10 % in DPG
S;D-00083745;PECHISSIME AB7684 SUB KFPCHE002A DEP FREE [FFP] @ 10 % in TEC
S;D-00083848;YARA YARA CX [FFP] @ 10 % in DPG
S;D-00083909;ACETIVENOL [FFP] @ 10 % in TEC
S;D-00084633;VANILLIN [FFP] @ 10 % in TEC 100% RENEW
S;D-00084679;METH ISO EUGENOL [FFP] @ 10 % in IPM
S;D-00086138;DECEN-1-AL, TRANS-4, [FFP] @ 0.1 % in TEC
S;D-00086236;DAMASCOL 4 [FFP] @ 10 % in TEC
S;D-00086719;SANDALORE [FFP] @ 10 % in DPG
S;D-00087112;ACETIVENOL [FFP] @ 10 % in DPG
S;D-00087124;PHEN ETH ALCOHOL [FFP] @ 10 % in IPM
S;D-00087512;YLANG YLANG OIL COMPLETE MADAGASCAR NAT EO A.VIEILLE [FFP] @ 10 % in DPG
S;D-00087939;PATCHOULY OIL DM EO AGUZON [FFP] @ 10 % in IPM
S;D-00087946;METH ANTH [FFP] @ 1 % in IPM
S;D-00088046;CLOVE LEAF OIL REDIST EO VENTOS [FFP] @ 1 % in DPG
S;D-00089261;CIVETTONE 926851 [FFP] @ 1 % in TEC
S;D-00089577;METH IONONE BETA COEUR [FFP] @ 10 % in DPG
S;D-00089638;CEDARWOOD OIL VIRGINIA NAT EO REYNAUD [FFP] @ 10 % in DPG
S;D-00090068;DAMASCONE DELTA [FFP] @ 1 % in IPM
S;D-00090069;ROSE OXIDE [FFP] @ 1 % in IPM
S;D-00090070;YLANG OIL EXTRA EO BERNERDI [FFP] @ 10 % in IPM
S;D-00090246;GRISAMBROL B 947169 [FFP] @ 10 % in DPG
S;D-00090361;ISORALDEINE 95 PURE? %A% [FFP] @ 1 % in DPG
S;D-00090495;JASMIN SAMBAC SUB MLE080874A [FFP] @ 10 % in DPG
S;D-00090560;DAMASCENONE TOTAL [FFP] @ 10 % in IPM
S;D-00090663;ROSE OXIDE [FFP] @ 0.1 % in DPG
S;D-00090758;ALLYL CAPROATE [FFP] @ 10 % in IPM
S;D-00090851;MELONAL [FFP] @ 10 % in TEC 100% RENEW
